imu1_acc_x,imu1_acc_y,imu1_acc_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu2_acc_x,imu2_acc_y,imu2_acc_z,imu2_gyro_x,imu2_gyro_y,imu2_gyro_z,imu3_acc_x,imu3_acc_y,imu3_acc_z,imu3_gyro_x,imu3_gyro_y,imu3_gyro_z,imu4_acc_x,imu4_acc_y,imu4_acc_z,imu4_gyro_x,imu4_gyro_y,imu4_gyro_z,imu5_acc_x,imu5_acc_y,imu5_acc_z,imu5_gyro_x,imu5_gyro_y,imu5_gyro_z,imu6_acc_x,imu6_acc_y,imu6_acc_z,imu6_gyro_x,imu6_gyro_y,imu6_gyro_z,imu7_acc_x,imu7_acc_y,imu7_acc_z,imu7_gyro_x,imu7_gyro_y,imu7_gyro_z,imu8_acc_x,imu8_acc_y,imu8_acc_z,imu8_gyro_x,imu8_gyro_y,imu8_gyro_z,imu9_acc_x,imu9_acc_y,imu9_acc_z,imu9_gyro_x,imu9_gyro_y,imu9_gyro_z,imu10_acc_x,imu10_acc_y,imu10_acc_z,imu10_gyro_x,imu10_gyro_y,imu10_gyro_z,stroke_label,head_x,head_y,stroke_prob
-1.157,1.291,-1.046,1.11,-2.076,-0.123,-1.53,0.696,0.244,-0.464,-0.447,0.417,-2.012,-1.035,-0.331,-2.249,-0.536,0.163,-1.913,0.191,-1.097,2.045,-0.435,0.261,-0.226,1.142,-0.79,-0.251,-0.613,0.473,0.046,0.348,1.423,0.196,-0.446,-0.353,0.662,-0.304,1.247,0.776,0.423,-0.534,-0.326,0.472,1.215,-0.036,-1.775,-1.682,0.467,-0.561,0.286,1.551,-0.337,0.604,0.305,-0.079,0.939,-1.834,-0.657,1.967,Front Crawl,343,517,0.578
-0.725,-1.705,0.186,1.231,-0.165,0.479,-1.027,0.058,-0.029,-0.632,-1.094,0.079,-0.489,1.299,1.264,-0.244,-0.928,0.882,-0.027,0.108,0.623,2.413,-1.511,0.745,0.81,0.13,-0.525,0.972,0.543,0.117,1.527,-0.329,1.459,0.285,-0.293,0.237,0.28,-0.611,-0.032,0.532,-1.445,0.583,0.106,1.395,-0.782,0.04,-0.265,-0.087,-1.524,1.308,0.445,-1.348,0.082,0.531,0.666,0.121,-1.397,-0.054,0.138,0.577,Front Crawl,213,359,0.346
-0.267,0.587,2.07,0.078,0.47,-0.422,-0.201,0.316,0.193,-1.493,0.584,-0.731,0.126,1.808,0.239,-1.424,-1.724,0.212,0.386,0.455,-0.34,-0.057,0.436,-1.162,1.077,0.184,-1.002,1.896,-0.906,0.201,-1.448,1.05,-0.038,0.149,0.568,0.821,1.183,0.071,-0.19,-1.264,-0.187,-2.114,0.739,-1.109,-0.177,-0.32,0.755,1.654,0.709,0.727,0.173,0.809,-0.44,0.104,0.496,-1.106,-0.775,1.36,0.281,1.542,Breaststroke,660,337,0.492
0.169,-1.273,0.731,1.406,1.879,-1.066,-0.077,0.329,0.656,0.969,1.116,-0.499,-0.355,-1.119,1.754,0.042,0.115,-0.739,0.165,-0.899,1.185,1.123,-0.043,-0.158,-0.428,-1.3,0.343,1.352,-0.588,0.864,0.061,-1.113,-0.357,1.495,0.146,1.152,-1.143,-0.671,-0.569,0.209,1.032,-1.944,0.514,-0.308,0.162,1.082,-0.535,1.223,1.106,0.218,-0.694,-0.74,-1.037,1.039,-2.183,-0.988,0.286,0.784,0.281,0.514,Freestyle,760,860,0.444
-0.105,-1.28,0.023,-0.081,-0.398,-0.894,-0.547,0.388,0.164,-0.255,-0.264,-1.465,0.562,-0.324,0.502,-1.979,-0.287,-0.641,0.333,0.089,-1.499,-0.24,-1.985,-0.061,-1.073,0.509,-0.492,-0.652,0.334,1.026,-0.639,0.365,-0.975,-0.485,0.354,-0.676,0.21,-0.929,-0.48,0.04,1.126,0.055,-0.893,-0.344,-0.292,1.638,-1.137,-0.163,-0.193,-0.738,-1.016,0.85,0.231,-0.907,0.133,0.386,0.548,-0.801,-0.463,-0.034,Front Crawl,918,780,0.571
-0.099,-0.321,0.622,-0.703,2.244,-0.361,1.412,-0.035,-0.79,3.278,-1.599,-1.902,-1.543,0.408,-1.086,-0.996,0.688,-0.703,-0.305,0.024,-0.869,1.502,-1.177,0.218,0.813,0.119,-0.3,-1.129,-0.465,1.02,1.141,-0.163,0.001,-1.148,0.757,1.257,-1.071,0.371,-0.43,0.289,0.237,-0.903,-0.171,0.309,-1.907,1.073,1.189,-0.508,1.044,-1.359,0.147,-1.297,-0.705,-0.799,0.3,0.801,1.093,-0.504,-0.057,-3.535,Breaststroke,1206,128,0.28
0.398,0.259,-0.879,-0.081,-0.781,-0.702,-0.959,-0.033,-0.938,1.928,-1.007,1.022,-1.055,0.182,-0.664,-0.383,0.535,0.958,0.66,-1.128,-0.442,-0.7,-0.406,1.364,-3.464,-0.276,0.959,0.268,0.087,-1.058,-0.575,0.041,-0.657,-0.325,0.423,1.0,0.105,-0.868,-0.363,-2.311,-1.362,-1.67,0.118,2.163,-0.556,1.254,-0.816,-1.431,1.682,1.319,-0.18,-0.856,2.07,-1.334,0.49,0.859,-0.383,-1.245,-0.185,-0.072,Breaststroke,1006,644,0.623
-0.233,1.18,-0.235,-0.502,0.155,0.33,1.335,-0.826,1.272,0.787,-1.507,1.054,-0.526,-0.326,0.647,-0.647,1.062,0.228,-0.5,1.268,1.374,0.376,1.013,-0.49,-1.768,-0.536,1.573,0.065,0.388,-0.563,0.397,-1.428,1.097,-0.644,-0.941,-0.499,0.868,-0.031,-1.76,-1.912,-1.36,2.186,-0.145,-0.378,0.434,0.485,1.013,0.745,0.561,-0.67,0.308,0.993,0.552,0.332,0.705,-0.791,-0.454,-0.221,-0.9,-1.096,Butterfly,944,278,0.362
-2.587,0.245,0.773,-0.336,-1.479,0.35,0.454,-0.873,0.532,-0.734,0.543,0.204,0.183,0.569,0.535,-0.269,-0.997,0.668,1.805,-0.048,0.341,-1.159,-0.668,-1.643,0.687,-1.205,2.868,0.903,0.36,0.165,-0.313,-1.349,-0.385,0.028,-0.515,0.02,-1.414,-0.926,-0.887,0.641,-0.074,0.843,0.891,0.702,-0.115,0.152,-0.17,0.477,-1.763,0.002,-0.044,0.391,-2.16,-0.454,-1.063,0.221,0.562,0.343,-0.824,1.179,Freestyle,1464,438,0.265
-1.237,-0.774,1.406,0.908,-0.147,0.246,-0.254,-1.29,0.127,-0.131,0.051,-1.766,-0.683,1.606,0.101,0.694,-1.107,-1.02,1.587,-2.818,-3.239,-0.062,-1.727,-0.425,-0.211,0.02,0.272,-0.126,0.865,0.573,0.525,0.136,-0.457,0.459,-1.289,3.139,0.116,-0.35,0.105,-0.129,-0.306,0.105,1.47,0.733,2.049,-0.454,-1.661,-1.164,1.806,-0.91,-0.07,0.192,-0.018,1.039,-0.182,-1.446,-0.699,-1.444,-1.418,-0.47,Butterfly,568,772,0.423
0.213,0.556,0.714,0.334,0.823,0.399,-0.001,0.389,-0.206,0.35,1.455,-0.673,2.53,-1.291,0.217,2.654,-0.201,-0.963,1.469,0.818,-0.754,-0.966,0.442,1.911,-1.14,-1.063,0.599,0.557,1.844,0.694,-0.844,-0.012,0.22,-1.218,-0.266,-0.166,0.293,0.173,0.452,-0.976,-0.262,-1.896,2.726,0.502,1.988,1.068,-1.413,0.571,1.163,-0.65,0.752,-0.375,1.25,0.217,1.651,1.466,0.812,0.648,2.444,1.422,Freestyle,1535,288,0.576
-0.393,0.318,1.089,0.425,-0.629,-0.153,-2.382,0.113,-1.233,-0.325,2.088,1.424,-2.002,-0.901,-0.437,-0.359,0.688,-0.655,1.257,-0.87,-0.903,-0.026,0.088,1.005,1.386,0.313,-0.551,-0.214,1.151,-1.104,-0.523,1.165,0.723,-1.594,-0.377,1.07,0.542,0.37,0.384,-1.02,-0.282,-0.091,0.532,0.615,-0.362,0.31,0.044,-0.294,-2.111,1.2,0.843,-0.217,0.335,0.906,-0.251,0.498,0.089,-0.717,-0.934,0.42,Butterfly,478,680,0.545
1.567,-0.069,-0.555,-1.417,0.887,-0.528,-0.435,-0.39,-1.694,0.692,0.033,-1.084,1.308,0.594,1.156,2.849,0.418,-0.317,0.095,1.491,1.558,-0.941,0.885,-1.124,-0.519,-1.103,-0.324,-0.486,-2.536,-1.64,-0.387,1.001,0.854,1.503,0.744,-1.778,-0.523,-0.414,1.613,-0.857,0.635,0.575,-0.744,0.813,0.412,0.658,1.281,-1.065,-0.75,-0.12,-0.338,-0.675,-0.381,1.56,0.758,1.628,1.08,-1.38,-1.47,1.403,Front Crawl,1611,233,0.764
0.473,-1.723,0.866,-1.942,-0.755,0.059,-1.103,0.119,-0.0,-0.141,0.303,-0.293,1.418,-0.871,-0.273,1.53,-0.043,-0.247,-0.532,0.201,1.18,-1.718,-0.403,-1.164,-0.529,-0.878,0.792,0.866,1.168,1.087,-0.652,0.148,-0.833,-1.532,-1.247,-0.657,-1.168,-0.401,-0.404,-1.859,-0.821,0.656,-0.64,1.442,0.701,-1.017,-1.629,-1.06,-0.971,-1.311,0.716,0.996,-1.131,-0.381,-0.167,-1.451,-0.598,-1.994,1.0,-0.465,Butterfly,1568,857,0.413
-0.077,0.606,0.342,0.521,-0.045,-0.735,1.299,-0.777,-0.334,0.075,-0.329,0.034,-0.291,-0.698,-0.927,-1.202,-0.625,0.076,-0.416,-0.329,-0.976,1.598,-0.515,-0.036,-0.016,0.139,0.574,-0.12,1.061,0.368,-0.376,2.193,1.875,0.464,0.874,-2.693,-0.327,-0.142,-0.14,1.047,-0.428,-0.578,0.949,-1.199,0.514,-1.665,0.764,-1.385,0.735,-1.084,0.054,-0.203,0.184,-1.621,-0.489,0.678,0.713,-0.729,-1.414,1.255,Butterfly,186,749,0.238
0.712,-0.425,-0.709,0.727,0.072,-0.376,-0.379,1.172,1.529,1.358,1.549,-0.239,0.571,-0.359,0.039,-0.075,-0.819,0.366,0.342,0.36,1.254,-1.199,-0.335,-1.343,-0.216,0.07,-0.549,0.206,1.142,-0.374,-0.15,-1.026,-1.78,-0.232,0.977,-2.523,1.692,0.047,-0.064,-0.547,-0.005,0.059,-0.068,1.74,0.556,-1.898,-0.929,0.83,0.265,-0.522,0.499,2.154,-0.199,1.194,0.671,-0.589,0.799,3.674,0.194,-0.64,Backstroke,281,199,0.495
1.242,0.065,0.986,0.026,1.856,1.904,0.264,-0.497,-1.1,0.482,0.579,3.809,-1.722,-0.537,0.229,-0.757,0.324,-2.05,0.324,-1.189,1.807,-0.14,-0.9,-0.842,-0.019,0.178,-0.977,1.099,0.892,-0.234,-0.401,-0.246,-0.173,-0.03,-1.67,0.337,-0.793,1.245,-0.751,-0.834,-0.516,-0.273,-0.391,-1.85,0.78,-0.512,1.723,1.031,0.001,0.782,2.292,0.725,0.141,0.281,-0.705,0.116,-2.499,0.457,0.009,-1.282,Front Crawl,859,525,0.598
-1.428,-0.318,0.163,3.326,0.836,1.281,0.154,-0.18,0.648,0.913,0.623,-0.161,2.349,1.29,-1.005,-0.651,1.868,1.226,-0.793,0.701,1.238,-0.421,0.792,-0.378,-0.02,-0.151,0.382,-1.025,0.851,-0.674,-0.267,0.755,1.193,-0.888,-0.822,-1.261,1.721,0.242,1.071,-0.052,-0.562,-1.257,-1.336,-0.247,0.217,-0.269,0.937,0.65,0.872,0.704,0.995,-1.087,-0.785,-1.906,-0.084,0.453,-0.439,0.127,1.327,-1.016,Breaststroke,1120,677,0.694
0.437,-0.29,-0.912,0.013,0.412,0.107,-0.393,0.127,1.819,-1.703,-0.207,0.31,-0.583,2.636,0.994,0.901,0.535,1.262,0.661,-0.722,-0.015,2.06,-1.21,-0.863,0.255,0.4,1.65,-0.462,0.672,0.298,0.195,0.258,-0.788,1.212,-0.656,-1.01,0.771,0.221,-0.446,1.333,-1.522,0.014,0.158,0.599,-1.943,-0.954,-1.2,0.147,-0.261,0.882,0.794,-0.614,-0.362,-1.7,-1.714,-0.262,-0.093,0.203,0.774,1.192,Freestyle,620,670,0.511
-0.628,-0.206,0.27,-0.589,-0.736,0.145,0.29,0.212,0.252,0.241,-2.034,2.284,-0.189,1.586,0.114,0.726,-0.64,0.674,0.768,-0.817,-0.165,0.415,0.378,-0.421,1.426,-0.077,0.359,0.735,1.428,-0.319,-0.3,1.282,0.978,-0.166,-0.005,-0.041,1.075,0.428,1.267,-1.162,1.657,0.168,0.418,0.233,1.245,0.041,-0.089,1.068,0.38,-0.615,-1.786,0.86,1.293,0.091,1.306,2.502,0.808,-0.791,0.804,-0.255,Backstroke,1212,494,0.077
1.193,0.214,-0.826,-0.323,-0.15,0.533,0.454,-2.441,0.852,-0.876,-0.686,-0.126,0.062,1.499,-0.82,0.977,-0.864,1.469,1.482,-2.496,-0.449,-2.137,0.701,-0.605,0.414,-1.136,-0.866,-1.014,0.229,-0.767,-1.38,0.555,0.514,1.038,0.75,-0.238,0.471,0.535,0.087,-0.275,0.145,-0.548,-0.786,1.528,1.01,-1.117,0.849,0.917,0.448,-0.705,0.737,0.62,-0.123,0.467,0.471,0.618,0.353,0.621,-0.052,-0.053,Breaststroke,123,1064,0.449
-0.216,0.794,0.481,-0.405,0.994,-0.82,0.462,0.706,0.313,-0.359,-0.573,-2.152,-0.001,-0.326,1.174,0.168,-0.874,1.001,-0.246,1.086,-0.62,-0.448,0.046,0.577,1.554,0.339,1.84,-0.666,-1.613,0.564,-1.401,-0.138,0.31,1.434,-1.447,0.467,0.425,0.6,0.166,0.503,-0.306,0.265,0.283,0.048,-0.77,0.519,-1.691,-0.514,1.136,1.217,0.693,1.598,1.228,-0.682,-0.538,-0.281,-0.368,1.558,-0.424,-2.17,Breaststroke,1139,563,0.314
0.29,-0.768,0.437,0.485,0.583,0.805,0.927,-0.431,-0.548,-0.626,-0.415,-0.98,-1.186,0.19,0.355,1.066,-0.51,0.509,0.831,1.099,-1.646,0.912,-0.688,-1.674,0.385,0.167,1.079,-0.588,-0.002,0.331,-0.779,0.428,-0.015,2.077,0.843,1.046,0.875,-0.725,-1.249,-1.685,0.615,-1.728,-0.097,-0.326,-0.019,-0.358,1.135,-0.262,-1.557,0.566,0.672,-1.188,2.066,0.096,-0.008,-1.807,-0.461,0.103,-0.194,-0.76,Front Crawl,1466,1033,0.415
1.381,-0.591,0.468,1.469,-3.214,0.186,-1.211,-0.525,1.95,-0.79,-0.252,-0.424,0.624,1.186,-0.811,0.927,1.123,0.516,-0.823,1.003,-0.783,0.218,-0.428,-0.06,0.404,0.89,0.544,0.666,-4.109,-0.37,0.527,0.649,-1.4,1.685,0.655,0.718,0.519,-0.929,-1.402,-0.538,-1.101,-0.92,-0.716,0.242,-0.464,0.752,-0.918,-0.069,1.53,-0.13,-1.778,-1.834,-0.846,2.592,-0.29,0.411,0.081,-2.239,0.894,1.192,Front Crawl,614,956,0.789
-0.925,-0.622,0.379,-0.669,0.36,0.503,-0.5,-1.523,1.167,-0.354,0.345,-1.56,-0.13,-2.129,-0.384,-0.278,-0.857,-0.442,-0.193,-0.068,-0.098,-2.695,0.349,0.857,-0.47,-0.468,0.185,-0.291,-0.67,1.18,-0.312,-0.607,-0.437,-0.588,1.178,-1.396,-0.436,-0.618,0.221,2.235,0.086,1.091,-0.539,0.358,0.59,0.78,0.36,0.052,0.766,-0.308,-1.827,1.923,0.569,1.596,-0.825,-0.082,0.664,0.568,-0.11,1.954,Breaststroke,228,728,0.603
0.592,1.086,0.013,-0.696,2.522,1.17,-0.633,1.44,0.272,0.58,0.691,-0.207,1.416,1.03,-0.194,0.433,0.31,0.976,-0.919,1.307,-1.434,0.36,2.407,0.277,1.226,0.039,0.145,-0.355,-2.002,-0.382,-0.955,-1.325,-0.421,0.24,0.676,0.814,-0.182,0.528,0.957,0.251,-0.153,-0.846,-1.02,-0.817,-1.087,0.71,1.04,1.495,-1.778,0.139,-0.236,0.231,0.232,-0.51,-1.478,0.807,0.981,0.059,0.791,-0.024,Front Crawl,1287,917,0.46
-0.7,1.284,1.864,1.2,-1.1,-0.932,-1.071,-0.603,-0.721,1.509,0.357,0.875,-0.394,-0.837,-0.744,1.37,0.382,-0.336,-0.285,-0.769,-0.537,-0.041,-1.162,-0.876,1.472,-0.596,-2.253,-0.053,1.077,2.174,1.481,-0.711,1.43,0.062,-1.322,0.338,-0.003,-0.11,-2.351,-0.182,0.444,-1.959,-0.369,-0.721,0.402,-0.605,-1.32,0.536,0.429,1.384,-1.034,1.579,-1.117,0.98,1.244,-0.079,-0.812,-1.315,-0.598,-1.342,Butterfly,1093,161,0.707
0.698,-0.585,-1.842,-0.207,0.156,1.08,-0.072,-0.53,0.094,0.037,1.743,0.222,0.008,-0.008,0.241,1.082,0.09,-1.67,0.105,-0.993,0.915,0.627,0.297,1.232,1.356,-0.302,1.25,0.806,-0.658,1.347,0.06,-2.56,-0.228,0.162,1.33,-1.704,0.708,-0.635,1.074,-0.676,-0.999,1.009,-0.589,1.518,1.218,1.866,-1.334,0.222,-1.672,-1.166,-0.495,-0.249,0.309,-0.144,0.523,-1.526,1.985,-0.738,-0.942,0.989,Breaststroke,1191,448,0.601
-0.79,0.119,-0.859,0.541,-0.741,1.095,-1.71,-0.481,-0.494,-0.798,0.522,-0.869,0.303,0.003,0.071,1.404,-1.928,0.911,-0.265,-0.596,-2.077,-1.03,0.611,-0.929,1.062,1.982,0.257,0.77,0.817,-0.027,1.316,1.232,-0.002,0.187,0.416,-0.416,-0.829,-0.273,-0.76,-0.476,1.084,3.165,0.682,-0.259,-0.378,2.971,0.071,0.776,2.026,-0.353,0.769,-0.509,-0.575,0.195,-0.775,0.234,-0.48,0.557,0.681,-0.249,Freestyle,1375,626,0.617
0.101,0.189,-0.274,2.072,1.582,0.81,1.681,-1.078,0.931,0.977,-0.023,-0.67,1.472,1.731,0.809,-0.867,-0.842,-1.238,-0.59,-0.318,-0.427,-0.586,-0.378,-0.902,-0.202,1.328,-1.245,0.697,-0.351,1.646,1.402,0.354,1.285,0.875,0.623,1.787,-0.227,1.49,1.016,1.003,-0.938,2.539,0.172,-0.889,-1.055,-0.674,1.525,-0.962,-0.496,-0.353,-0.056,-0.301,0.827,-0.186,-1.162,0.444,-0.736,-0.245,-0.688,1.311,Backstroke,158,1016,0.655
0.696,1.44,-0.602,0.516,0.652,-0.175,-0.229,0.289,-1.346,0.12,-0.055,0.169,-1.094,1.074,0.591,0.837,-0.488,-0.242,0.06,-2.086,0.471,1.081,-0.616,0.896,0.763,0.183,-0.64,-0.03,-0.316,-0.846,-1.22,0.252,-2.17,-0.561,2.117,-0.729,0.149,1.209,-1.69,-1.141,0.783,1.468,-2.031,1.123,-1.567,-0.809,-0.634,-2.69,-0.813,0.897,-0.175,-1.302,-0.262,0.516,-0.204,0.641,0.528,1.568,1.891,-1.68,Backstroke,1183,544,0.49
-1.252,-0.621,0.056,-1.398,0.237,-0.569,-0.028,1.364,0.17,-0.252,-0.455,-0.09,-0.351,0.261,0.031,-0.397,2.376,1.017,-0.363,0.036,-0.327,0.763,0.176,1.105,0.523,-0.013,0.911,-0.482,-0.642,-0.979,1.83,0.065,-1.597,0.339,0.502,1.709,-0.118,-1.526,0.186,0.422,0.851,1.024,0.918,-0.142,0.191,0.981,0.297,1.866,0.165,-0.028,-0.998,1.238,-0.673,-1.465,-0.859,-1.234,-0.339,0.156,-0.059,-1.526,Backstroke,562,821,0.591
-0.077,0.424,1.266,-0.71,1.133,0.773,-0.837,-0.965,0.529,-1.045,-1.203,-1.146,-0.268,-1.94,-1.224,1.167,0.466,-0.228,-2.17,1.285,-0.261,0.603,-0.003,-1.433,-0.403,-0.476,-0.426,1.71,-1.013,-1.782,0.999,-0.039,-0.973,1.587,0.716,2.153,-0.216,0.971,-0.107,-1.469,0.828,0.54,-0.432,-0.249,0.392,-0.127,0.521,-1.448,-1.593,-0.186,-0.769,-0.268,-0.084,-0.343,-0.68,0.419,0.576,-0.991,0.478,0.442,Freestyle,1912,1058,0.546
-0.139,-0.917,1.725,-0.108,0.751,0.679,-0.097,0.658,0.994,1.645,3.067,-0.312,-0.01,0.838,1.296,1.179,-0.987,-1.391,-1.169,0.046,1.224,0.018,-1.639,-1.726,1.426,0.149,-0.985,1.091,-0.791,1.138,-0.659,0.086,-0.121,2.312,1.483,-1.108,-0.222,2.444,-1.295,1.111,-0.389,-0.632,0.28,0.707,1.003,-0.872,-1.249,-0.573,0.918,-0.862,-0.206,-0.774,-0.258,0.131,-0.395,0.065,-1.527,-0.166,-0.724,1.051,Freestyle,1189,196,0.386
0.823,0.171,0.203,-0.86,-0.337,-0.213,0.455,0.137,1.088,-0.338,1.141,-0.593,1.948,0.163,1.181,1.041,0.127,-0.127,-0.21,1.692,0.309,0.748,1.124,0.837,-0.341,0.344,0.662,1.261,-0.668,0.724,0.499,1.22,0.771,0.452,0.815,0.245,-1.252,0.32,1.447,-1.578,0.316,1.029,2.179,-0.044,-1.303,0.778,1.377,0.36,0.659,0.066,-0.376,0.623,1.362,0.812,0.472,-1.162,0.724,1.288,-0.167,-0.552,Freestyle,1241,374,0.263
-1.32,-0.184,0.444,0.779,-0.472,1.986,-1.319,-2.103,0.391,0.874,-0.784,-0.522,0.749,-1.141,0.011,0.342,0.16,1.094,-1.225,-1.018,0.537,0.169,-1.625,0.801,-0.218,-1.332,-0.893,-0.747,-0.301,0.645,1.658,-0.75,1.023,-0.018,1.177,1.668,-0.181,0.304,-0.438,-2.716,0.352,0.795,-0.435,0.028,0.922,0.456,-1.016,1.188,-1.114,-1.001,1.115,-0.994,0.363,0.299,0.239,-0.44,-0.8,0.626,0.597,-1.265,Front Crawl,854,367,0.235
0.599,0.127,0.624,-0.721,-0.299,1.142,-0.635,0.152,-1.597,0.884,-1.532,0.204,-0.53,-0.623,-1.504,1.131,1.013,0.668,-0.466,-1.377,-1.479,0.749,1.242,1.256,0.844,-0.618,-1.827,0.807,-0.016,-1.234,0.516,-0.475,0.907,0.691,-0.898,1.688,0.202,-1.542,-1.523,-1.062,1.716,0.286,0.022,-0.28,0.13,2.007,-0.978,-1.084,-0.982,0.215,-0.056,-0.838,1.741,-0.635,-0.321,0.018,0.452,0.57,-2.096,-0.223,Freestyle,1518,571,0.328
-0.418,0.028,1.934,-1.88,0.387,1.299,-1.121,0.166,-0.512,0.576,-0.897,-0.519,0.049,-1.872,0.062,-0.585,1.011,-1.092,0.909,0.366,1.207,-0.623,1.244,-1.023,0.029,-0.912,0.854,-0.674,-1.556,-0.403,1.188,-1.45,1.139,-0.412,-0.755,-0.778,2.061,-0.78,0.969,1.518,0.369,-0.387,0.314,0.233,1.063,-0.58,-1.354,-0.658,0.642,-0.872,0.304,-0.326,0.737,-1.266,-1.253,2.781,0.088,0.262,-0.318,0.878,Backstroke,1131,1029,0.229
0.188,-0.904,-2.588,2.049,0.923,0.413,-0.939,0.599,-1.742,-1.289,1.306,-1.996,-0.67,-0.073,0.731,-1.665,1.236,0.322,-0.798,0.167,-0.775,0.017,0.812,-3.015,-1.07,-1.162,-0.292,-0.636,-0.676,1.915,-1.052,-0.722,-0.633,-0.933,-0.039,0.061,-0.346,-1.669,-0.477,0.59,-1.318,-0.355,-0.498,-0.538,0.735,0.677,1.784,-1.64,-1.201,0.121,-1.576,-0.089,-0.608,-0.555,0.18,-0.453,-0.209,0.121,-1.572,-0.158,Backstroke,742,594,0.583
-0.926,-0.401,0.778,-1.313,1.161,-0.066,-1.32,-0.155,1.612,1.356,-0.814,-0.555,1.179,-1.87,-0.021,0.861,-0.512,-1.335,-0.665,1.11,0.589,-0.811,-1.169,-1.237,-0.355,1.754,-0.16,-1.867,1.139,-0.524,-0.476,1.111,-0.821,0.617,1.84,1.748,-0.976,-1.828,1.242,0.652,1.031,0.064,-0.423,-1.11,-1.543,-0.747,-0.159,0.609,-1.445,1.099,2.473,-0.327,-2.249,-1.678,-0.036,1.601,0.985,-0.748,0.489,0.499,Freestyle,1889,377,0.529
0.308,1.761,0.242,1.668,0.652,-0.996,-0.569,2.225,2.64,-0.096,-1.002,0.653,0.783,1.752,2.72,0.428,-2.539,0.565,0.322,-0.892,-0.945,-0.242,1.7,0.27,1.449,0.223,-1.538,0.068,-0.136,-0.342,-0.11,-0.95,0.436,0.139,0.014,1.531,-1.308,-0.284,0.371,-1.768,-1.585,0.26,1.583,-1.5,0.699,-0.088,-0.378,2.266,1.05,0.27,0.96,-0.135,1.568,1.247,0.272,0.089,0.431,-1.186,-0.14,0.982,Butterfly,1728,484,0.428
0.207,-1.667,-1.329,-0.612,0.948,-0.261,1.366,0.382,-0.343,1.199,-2.316,-1.343,-0.024,-0.343,0.054,0.209,-0.099,0.563,-0.269,1.8,-0.603,-0.948,0.371,0.2,0.064,0.078,1.222,-0.871,0.292,1.732,-1.492,-1.115,0.065,-0.233,-0.517,-0.55,-0.82,0.261,0.089,-1.799,0.269,1.445,0.032,0.829,-1.536,1.293,0.917,-1.059,0.348,-0.057,0.738,-0.13,0.245,-0.254,-0.564,0.007,0.972,0.428,-0.424,0.333,Front Crawl,1798,890,0.869
-0.868,-0.286,0.087,0.214,-1.335,0.266,1.103,-0.246,-0.342,0.219,-0.422,1.388,-0.249,-0.372,-1.094,-0.514,0.634,1.104,0.5,0.514,-1.114,-0.95,-2.299,-0.793,0.306,-1.378,-0.577,-0.883,0.479,-0.643,0.944,0.57,0.103,-1.867,-1.956,-0.252,0.042,-0.085,0.684,0.378,-0.853,-0.686,-1.172,-0.902,1.038,0.775,-0.562,-0.909,1.379,-0.191,1.664,-1.048,1.248,1.583,-0.777,0.453,-0.042,1.239,-1.379,1.107,Butterfly,160,382,0.395
-0.425,0.041,-1.236,-0.387,-0.048,0.04,-0.725,-0.033,-0.018,-2.437,0.926,-1.974,1.434,1.269,-1.673,-0.581,-0.371,-0.33,-0.691,-0.36,-0.453,-0.11,-0.71,1.295,2.305,1.778,-1.156,0.922,-0.002,1.384,1.009,0.81,0.641,-0.85,-1.885,-0.782,1.329,0.378,-0.096,0.561,-0.359,-0.352,-0.604,1.63,-0.449,0.703,-0.759,1.054,-1.393,0.022,-0.034,0.917,0.722,1.295,0.743,-0.157,-1.251,-0.801,0.279,0.216,Breaststroke,586,896,0.795
-0.548,0.07,0.909,-1.171,0.638,1.138,0.015,0.154,-0.909,-1.293,1.473,0.084,-0.801,-1.244,-0.963,0.4,-0.107,-0.689,-0.156,-0.68,0.426,-2.169,-0.477,0.238,1.793,-0.38,1.573,0.422,0.392,-1.427,1.018,0.394,-0.877,0.539,-0.547,-1.9,-0.162,-0.96,0.671,-0.299,1.044,0.861,0.823,0.181,1.078,0.971,-0.813,1.773,1.529,2.734,-1.443,0.325,0.089,-1.199,-0.423,-0.899,-0.29,1.176,0.381,0.245,Front Crawl,1559,541,0.282
-1.862,-1.956,1.253,-0.311,-0.398,0.184,0.887,0.176,1.08,1.308,-1.235,-1.252,-1.214,-0.143,-0.172,0.858,-0.031,0.237,-1.237,-0.264,-0.733,-1.753,-1.156,1.494,0.079,0.073,0.858,0.391,1.697,0.604,-1.704,0.422,0.833,0.22,-1.45,-1.558,-0.092,0.196,-0.806,-0.25,-1.548,1.915,-0.145,0.06,-0.513,0.847,-1.258,-1.76,-1.59,-1.143,0.917,0.26,0.675,1.733,0.815,-0.853,0.319,-1.392,-0.752,-1.109,Freestyle,884,708,0.512
0.903,0.642,1.493,-0.533,0.245,-0.737,-0.347,-1.627,0.304,0.332,-0.347,-0.889,-0.551,1.083,0.746,-0.045,-1.145,1.57,-0.645,-1.99,0.727,-0.241,-0.472,0.635,1.26,2.397,-0.053,0.33,-1.426,0.541,0.317,-0.877,-1.183,0.804,0.633,-0.181,0.999,-0.033,-1.718,0.947,0.482,0.724,-0.997,-0.556,1.417,-1.252,1.545,1.793,-0.313,0.715,-0.062,0.536,1.657,0.056,-1.365,0.634,-0.604,-0.538,0.194,-0.564,Breaststroke,1396,797,0.63
